CENSUS_TRACT_GEOID,COUNTY,STATE,tract_fips,poverty_2020,poverty_2022,poverty_change_20_22,income_2020,income_2022,income_change_20_22,unemployment_2020,unemployment_2022,unemployment_change_20_22,education_2020,education_2022,education_change_20_22,housing_burden_2020,housing_burden_2022,housing_burden_change_20_22,no_vehicle_2020,no_vehicle_2022,no_vehicle_change_20_22,food_access_population_2020,food_access_population_2022,food_access_population_change_20_22,uninsured_2020,uninsured_2022,uninsured_change_20_22,disability_2020,disability_2022,disability_change_20_22,broadband_2020,broadband_2022,broadband_change_20_22
6001400200,Alameda County,California,6001400200,5.8,7.5,1.7,200192.0,225500,25308.0,7.9,6.1,-1.8,85.6,86.4,0.8,8.0,10.4,2.4,10.4,9.5,-0.9,4.94,20.88,15.94,0.4,0.8,0.4,8.9,8.7,-0.2,97.1,98.3,1.2
6001400300,Alameda County,California,6001400300,5.1,7.1,2.0,118695.0,164000,45305.0,3.4,7.2,3.8,75.6,80.0,4.4,27.0,15.7,-11.3,15.0,13.9,-1.1,14.93,19.82,4.89,0.3,1.7,1.4,11.4,9.0,-2.4,88.6,90.9,2.3
6001400400,Alameda County,California,6001400400,9.4,9.9,0.5,137067.0,158836,21769.0,2.5,0.2,-2.3,76.3,75.9,-0.4,15.9,14.5,-1.4,9.5,14.1,4.6,7.19,2.79,-4.4,2.6,2.3,-0.3,8.3,9.3,1.0,96.3,97.5,1.2
6001400500,Alameda County,California,6001400500,9.8,10.4,0.6,110052.0,95078,-14974.0,6.4,8.0,1.6,67.4,68.6,1.2,30.2,34.0,3.8,7.8,8.5,0.7,20.94,24.39,3.45,2.7,4.5,1.8,6.1,7.0,0.9,95.5,92.1,-3.4
6001400600,Alameda County,California,6001400600,9.8,8.6,-1.2,135682.0,155893,20211.0,5.6,3.3,-2.3,67.6,64.9,-2.7,13.6,15.5,1.9,7.5,9.4,1.9,100.0,97.04,-2.96,3.4,3.8,0.4,7.9,9.8,1.9,90.4,94.8,4.4
6001400700,Alameda County,California,6001400700,10.9,10.0,-0.9,94700.0,110556,15856.0,6.0,3.9,-2.1,58.5,67.3,8.8,28.7,22.6,-6.1,12.9,13.9,1.0,96.12,97.49,1.37,9.0,2.5,-6.5,12.4,14.0,1.6,92.7,94.7,2.0
6001400800,Alameda County,California,6001400800,9.8,11.1,1.3,79091.0,97132,18041.0,3.9,3.1,-0.8,59.3,65.2,5.9,32.1,26.2,-5.9,14.6,10.0,-4.6,57.29,54.36,-2.93,4.8,2.9,-1.9,7.7,11.3,3.6,93.5,98.4,4.9
6001400900,Alameda County,California,6001400900,8.8,4.9,-3.9,78235.0,114583,36348.0,5.1,4.0,-1.1,46.2,49.3,3.1,34.5,23.5,-11.0,5.9,4.5,-1.4,81.24,81.11,-0.13,6.9,6.2,-0.7,8.7,8.6,-0.1,89.9,99.3,9.4
6001401000,Alameda County,California,6001401000,8.3,11.3,3.0,105446.0,153654,48208.0,6.5,5.8,-0.7,54.8,57.4,2.6,25.0,19.3,-5.7,23.8,15.5,-8.3,79.85,72.85,-7.0,6.1,3.9,-2.2,10.7,11.0,0.3,90.6,96.0,5.4
6001401100,Alameda County,California,6001401100,13.0,10.8,-2.2,83649.0,93121,9472.0,6.1,7.8,1.7,73.0,67.5,-5.5,31.5,22.8,-8.7,25.3,15.5,-9.8,84.82,91.41,6.59,10.6,10.3,-0.3,7.7,7.5,-0.2,95.6,94.5,-1.1
6001401300,Alameda County,California,6001401300,17.8,12.2,-5.6,77328.0,104226,26898.0,5.8,3.8,-2.0,50.2,55.9,5.7,36.6,26.3,-10.3,35.4,31.2,-4.2,3.77,0.0,-3.77,4.0,4.8,0.8,13.0,8.1,-4.9,80.4,87.2,6.8
6001401400,Alameda County,California,6001401400,31.7,30.3,-1.4,67863.0,95011,27148.0,8.1,10.4,2.3,45.1,44.6,-0.5,35.4,27.8,-7.6,20.7,16.4,-4.3,0.0,8.48,8.48,11.6,11.6,0.0,13.1,16.3,3.2,88.2,86.7,-1.5
6001401500,Alameda County,California,6001401500,18.0,17.2,-0.8,70033.0,75568,5535.0,8.8,9.3,0.5,40.0,37.3,-2.7,32.8,30.0,-2.8,32.1,29.0,-3.1,33.96,96.88,62.92,6.9,7.6,0.7,18.7,14.7,-4.0,76.8,80.1,3.3
