state_abbreviation,state_county_fips,county_name,tract_fips,tract_id,social_vulnerability_index,poverty_rate,median_household_income,uninsured_rate,housing_cost_burden,no_vehicle_rate,low_access_households_no_vehicle,low_access_population_rate,disability_rate,unemployment_rate,no_internet_access_rate,limited_english_rate
CA,6001,Alameda County,6001400100,6001400100,0.1598,4.4,234236.0,0.3,10.9,6.9,0.0,96.47,11.1,5.0,6.1,0.4
CA,6001,Alameda County,6001400200,6001400200,0.1827,7.5,225500.0,0.8,10.4,9.5,2.97,20.88,8.7,6.1,1.3,0.7
CA,6001,Alameda County,6001400300,6001400300,0.2366,7.1,164000.0,1.7,15.7,13.9,7.72,19.82,9.0,7.2,9.1,0.3
CA,6001,Alameda County,6001400400,6001400400,0.1451,9.9,158836.0,2.3,14.5,14.1,3.45,2.79,9.3,0.2,2.5,0.5
CA,6001,Alameda County,6001400500,6001400500,0.2148,10.4,95078.0,4.5,34.0,8.5,5.91,24.39,7.0,8.0,7.4,0.9
CA,6001,Alameda County,6001400600,6001400600,0.2489,8.6,155893.0,3.8,15.5,9.4,7.25,97.04,9.8,3.3,5.2,0.4
CA,6001,Alameda County,6001400700,6001400700,0.2492,10.0,110556.0,2.5,22.6,13.9,20.9,97.49,14.0,3.9,5.3,1.5
CA,6001,Alameda County,6001400800,6001400800,0.296,11.1,97132.0,2.9,26.2,10.0,8.58,54.36,11.3,3.1,1.6,3.1
CA,6001,Alameda County,6001400900,6001400900,0.1687,4.9,114583.0,6.2,23.5,4.5,3.38,81.11,8.6,4.0,0.7,4.8
CA,6001,Alameda County,6001401000,6001401000,0.3187,11.3,153654.0,3.9,19.3,15.5,18.49,72.85,11.0,5.8,4.0,2.6
CA,6001,Alameda County,6001401100,6001401100,0.4854,10.8,93121.0,10.3,22.8,15.5,19.34,91.41,7.5,7.8,5.5,5.8
CA,6001,Alameda County,6001401200,6001401200,0.094,9.0,115045.0,3.0,21.2,11.4,0.91,26.08,7.1,3.5,2.8,1.9
CA,6001,Alameda County,6001401300,6001401300,0.4582,12.2,104226.0,4.8,26.3,31.2,2.8,0.0,8.1,3.8,12.8,6.0
CA,6001,Alameda County,6001401400,6001401400,0.7632,30.3,95011.0,11.6,27.8,16.4,5.87,8.48,16.3,10.4,13.3,5.2
CA,6001,Alameda County,6001401500,6001401500,0.6312,17.2,75568.0,7.6,30.0,29.0,3.39,96.88,14.7,9.3,19.9,4.1
CA,6001,Alameda County,6001401600,6001401600,0.6743,16.2,88304.0,4.7,35.2,11.0,0.0,0.0,8.7,9.1,13.1,5.0
CA,6001,Alameda County,6001401700,6001401700,0.2382,16.8,145833.0,8.9,15.2,4.3,11.5,60.65,4.5,3.9,2.6,0.9
CA,6001,Alameda County,6001401800,6001401800,0.5744,15.3,72401.0,9.0,34.5,27.7,37.99,98.18,9.2,1.9,7.8,5.4
CA,6001,Alameda County,6001402200,6001402200,0.5025,19.2,96200.0,4.4,25.3,18.6,21.1,100.0,18.3,7.9,5.2,5.5
CA,6001,Alameda County,6001402400,6001402400,0.9017,20.0,31279.0,5.5,51.9,38.2,19.9,58.07,17.3,10.6,19.9,11.2
CA,6001,Alameda County,6001402500,6001402500,0.7741,27.6,34250.0,3.7,38.9,36.2,49.67,100.0,12.9,19.5,14.4,7.4
CA,6001,Alameda County,6001402600,6001402600,0.8528,18.0,45560.0,4.0,42.0,30.4,41.79,80.92,24.2,8.0,20.8,17.6
CA,6001,Alameda County,6001402700,6001402700,0.5133,19.1,115750.0,8.2,18.2,25.9,8.86,20.48,14.8,7.1,24.9,4.8
CA,6001,Alameda County,6001402801,6001402801,0.8618,12.1,74931.0,3.3,37.8,43.1,8.87,79.64,17.0,6.3,15.0,5.2
CA,6001,Alameda County,6001402802,6001402802,0.8149,41.3,90230.0,4.5,48.1,62.2,2.9,46.16,26.4,16.6,37.5,3.0
CA,6001,Alameda County,6001402900,6001402900,0.8433,25.1,37973.0,4.8,37.1,58.8,0.0,30.03,21.0,6.9,21.8,26.1
CA,6001,Alameda County,6001403000,6001403000,0.8374,30.4,32077.0,4.3,36.2,55.4,1.72,54.56,25.0,8.6,26.2,35.2
CA,6001,Alameda County,6001403100,6001403100,0.5915,16.2,136071.0,4.1,21.3,36.8,0.0,0.16,12.6,9.2,14.5,9.9
CA,6001,Alameda County,6001403301,6001403301,0.8032,25.6,34417.0,0.9,59.0,36.8,0.0,36.76,20.3,1.7,29.7,44.6
CA,6001,Alameda County,6001403302,6001403302,0.0628,1.4,148235.0,2.1,13.9,16.3,0.0,42.11,2.1,0.6,1.2,1.8
